age,education_num,is_male,hours_per_week,is_us_native,had_capital_loss_or_gain,high_income,test,sex,education_simp,workclass_simp,maritalstat_simp,occupation,race,salary
59,9,0,40,1,0,0,0,Female,hs_grad,private,separated,Tech_support,White,<50K
56,13,1,40,1,0,1,0,Male,bachelors,government,married,Tech_support,White,>50K
19,9,1,40,1,0,0,0,Male,hs_grad,private,single,Craft_repair,White,<50K
54,10,1,60,0,0,1,0,Male,,unknown,married,unknown,Asian_Pac_Islander,>50K
39,9,1,80,1,0,0,0,Male,hs_grad,private,separated,Exec_managerial,White,<50K
49,9,1,40,1,0,0,0,Male,hs_grad,private,married,Craft_repair,White,<50K
23,12,1,52,1,0,0,0,Male,assoc,government,single,Protective_serv,White,<50K
20,10,1,44,1,0,0,0,Male,,private,single,Sales,Black,<50K
45,13,1,40,1,1,0,0,Male,bachelors,private,separated,Exec_managerial,White,<50K
30,10,1,40,1,0,0,0,Male,,government,married,Adm_clerical,White,<50K
22,10,1,15,1,0,0,0,Male,,government,married,Other_service,Black,<50K
48,7,1,40,0,0,0,0,Male,not_highschool,private,single,Machine_op_inspct,White,<50K
21,10,1,40,1,0,0,0,Male,,private,single,Machine_op_inspct,White,<50K
19,9,0,25,1,0,0,0,Female,hs_grad,private,married,Adm_clerical,White,<50K
31,10,1,38,0,0,1,0,Male,,private,married,Sales,White,>50K
48,12,1,40,1,0,0,0,Male,assoc,self_emp,married,Prof_specialty,White,<50K
31,5,1,43,1,0,0,0,Male,,private,married,Machine_op_inspct,White,<50K
53,13,1,40,1,0,0,0,Male,bachelors,self_emp,married,Prof_specialty,White,<50K
24,13,1,50,1,0,0,0,Male,bachelors,private,married,Tech_support,White,<50K
49,9,0,40,1,0,0,0,Female,hs_grad,private,separated,Adm_clerical,White,<50K
25,9,1,35,1,0,0,0,Male,hs_grad,private,single,Handlers_cleaners,White,<50K
57,13,1,40,1,0,1,0,Male,bachelors,government,married,Prof_specialty,Black,>50K
53,9,1,38,1,0,0,0,Male,hs_grad,private,married,Machine_op_inspct,White,<50K
44,14,0,40,1,0,0,0,Female,masters,private,separated,Exec_managerial,White,<50K
41,11,1,40,1,0,0,0,Male,assoc,government,married,Craft_repair,White,<50K
29,11,1,43,1,0,0,0,Male,assoc,private,single,Prof_specialty,White,<50K
25,10,0,40,1,0,0,0,Female,,private,married,Exec_managerial,Other,<50K
18,9,0,30,0,0,0,0,Female,hs_grad,private,single,Other_service,White,<50K
47,15,0,60,0,1,1,0,Female,prof_school,private,married,Prof_specialty,White,>50K
50,13,1,55,1,0,1,0,Male,bachelors,government,separated,Exec_managerial,White,>50K
47,9,1,60,1,0,0,0,Male,hs_grad,self_emp,separated,Exec_managerial,White,<50K
43,10,1,40,1,0,1,0,Male,,private,married,Tech_support,White,>50K
46,3,1,40,0,0,0,0,Male,not_highschool,private,married,Machine_op_inspct,White,<50K
35,11,1,40,0,0,0,0,Male,assoc,private,married,Other_service,White,<50K
41,9,1,48,1,0,0,0,Male,hs_grad,private,married,Adm_clerical,White,<50K
30,9,1,40,1,1,0,0,Male,hs_grad,private,married,Machine_op_inspct,White,<50K
30,13,1,40,1,1,0,0,Male,bachelors,private,married,Sales,White,<50K
32,4,1,40,0,0,0,0,Male,,unknown,married,unknown,White,<50K
48,9,1,40,1,0,0,0,Male,hs_grad,private,married,Transport_moving,White,<50K
42,16,1,45,1,0,1,0,Male,doctorate,private,married,Prof_specialty,White,>50K
29,10,1,58,1,0,0,0,Male,,private,separated,Tech_support,White,<50K
36,9,1,40,1,0,0,0,Male,hs_grad,private,married,Craft_repair,White,<50K
28,10,0,40,1,0,0,0,Female,,private,separated,Adm_clerical,White,<50K
53,9,0,40,1,0,1,0,Female,hs_grad,private,married,Adm_clerical,White,>50K
49,10,1,50,1,0,1,0,Male,,self_emp,married,Exec_managerial,White,>50K
25,10,1,40,1,0,0,0,Male,,unknown,single,unknown,White,<50K
19,10,1,32,1,0,0,0,Male,,private,single,Prof_specialty,White,<50K
31,13,0,40,1,0,0,0,Female,bachelors,private,separated,Sales,Black,<50K
29,13,1,70,1,0,1,0,Male,bachelors,self_emp,married,Sales,White,>50K
23,10,1,40,1,0,0,0,Male,,private,single,Machine_op_inspct,White,<50K
79,10,1,20,1,0,0,0,Male,,private,married,Prof_specialty,White,<50K
27,9,1,40,0,0,0,0,Male,hs_grad,private,single,Other_service,White,<50K
40,12,1,40,1,0,0,0,Male,assoc,private,married,Adm_clerical,White,<50K
67,6,1,2,1,0,0,0,Male,not_highschool,unknown,married,unknown,White,<50K
18,7,0,22,1,0,0,0,Female,not_highschool,private,single,Other_service,White,<50K
31,4,1,40,1,0,0,0,Male,,government,married,Farming_fishing,White,<50K
18,9,1,30,1,0,0,0,Male,hs_grad,private,single,Sales,White,<50K
52,13,1,40,0,0,0,0,Male,bachelors,private,married,Other_service,White,<50K
46,9,0,40,1,0,0,0,Female,hs_grad,private,married,Other_service,White,<50K
59,9,1,48,1,0,0,0,Male,hs_grad,private,married,Sales,White,<50K
44,9,0,40,1,1,1,0,Female,hs_grad,private,separated,Craft_repair,White,>50K
53,9,0,35,1,0,0,0,Female,hs_grad,private,separated,Sales,White,<50K
49,9,1,40,1,0,1,0,Male,hs_grad,government,married,Protective_serv,White,>50K
33,14,1,50,1,0,0,0,Male,masters,private,married,Prof_specialty,White,<50K
30,5,1,40,1,0,0,0,Male,,private,single,Sales,White,<50K
43,16,0,50,1,0,1,0,Female,doctorate,government,single,Prof_specialty,White,>50K
57,11,1,40,1,0,0,0,Male,assoc,private,married,Prof_specialty,White,<50K
37,10,0,40,1,0,0,0,Female,,private,separated,Craft_repair,White,<50K
28,10,0,25,1,0,0,0,Female,,private,separated,Machine_op_inspct,Black,<50K
30,9,0,35,0,1,0,0,Female,hs_grad,private,married,Sales,Asian_Pac_Islander,<50K
34,13,1,40,1,0,1,0,Male,bachelors,government,married,Protective_serv,White,>50K
29,10,1,50,1,0,0,0,Male,,government,single,Handlers_cleaners,White,<50K
48,16,1,60,1,1,1,0,Male,doctorate,self_emp,married,Prof_specialty,White,>50K
37,10,1,48,1,0,1,0,Male,,private,married,Sales,White,>50K
48,12,0,40,0,0,0,0,Female,assoc,private,separated,Exec_managerial,White,<50K
32,9,1,40,1,0,0,0,Male,hs_grad,government,single,Other_service,Black,<50K
76,14,1,40,1,0,1,0,Male,masters,private,married,Exec_managerial,White,>50K
44,13,1,60,1,1,1,0,Male,bachelors,private,married,Exec_managerial,White,>50K
47,14,0,50,1,0,0,0,Female,masters,self_emp,single,Prof_specialty,White,<50K
20,10,0,40,1,0,0,0,Female,,private,single,Tech_support,White,<50K
29,9,1,40,1,0,0,0,Male,hs_grad,private,single,Craft_repair,White,<50K
32,9,1,40,1,1,1,0,Male,hs_grad,self_emp,married,Craft_repair,White,>50K
17,6,0,32,1,1,0,0,Female,not_highschool,unknown,single,unknown,White,<50K
30,7,1,40,1,0,0,0,Male,not_highschool,private,single,Handlers_cleaners,White,<50K
31,9,0,40,1,0,0,0,Female,hs_grad,government,single,Adm_clerical,White,<50K
42,9,1,40,1,0,0,0,Male,hs_grad,private,married,Handlers_cleaners,White,<50K
24,13,1,40,1,0,0,0,Male,bachelors,private,single,Sales,White,<50K
38,15,1,40,1,0,1,0,Male,prof_school,private,married,Prof_specialty,White,>50K
56,9,1,50,0,1,1,0,Male,hs_grad,self_emp,married,Other_service,White,>50K
28,10,0,25,1,1,0,0,Female,,private,married,Sales,White,<50K
36,9,0,40,1,0,0,0,Female,hs_grad,private,single,Machine_op_inspct,White,<50K
53,5,1,50,1,0,0,0,Male,,private,married,Handlers_cleaners,White,<50K
56,10,1,50,1,0,0,0,Male,,self_emp,married,Sales,White,<50K
49,11,1,40,1,0,1,0,Male,assoc,government,married,Craft_repair,Black,>50K
55,10,1,56,1,0,0,0,Male,,private,married,Sales,White,<50K
22,9,1,41,1,0,0,0,Male,hs_grad,private,single,Craft_repair,White,<50K
21,10,0,40,1,0,0,0,Female,,private,single,Other_service,White,<50K
40,13,1,60,1,0,0,0,Male,bachelors,private,married,Exec_managerial,White,<50K
30,13,1,40,0,0,0,0,Male,bachelors,private,single,Exec_managerial,Black,<50K
29,13,1,50,1,0,1,0,Male,bachelors,government,married,Prof_specialty,White,>50K
19,10,1,35,1,0,0,0,Male,,private,single,Other_service,Black,<50K
47,13,0,40,1,0,1,0,Female,bachelors,private,married,Exec_managerial,White,>50K
20,10,0,28,1,1,0,0,Female,,private,single,Adm_clerical,White,<50K
31,12,1,40,1,0,1,0,Male,assoc,private,married,Adm_clerical,White,>50K
35,9,1,40,1,0,0,0,Male,hs_grad,unknown,married,unknown,White,<50K
39,10,1,40,1,0,0,0,Male,,private,separated,Craft_repair,White,<50K
28,12,0,60,1,0,0,0,Female,assoc,private,single,Sales,White,<50K
24,9,0,40,1,1,0,0,Female,hs_grad,private,single,Other_service,White,<50K
38,9,1,35,1,1,0,0,Male,hs_grad,self_emp,married,Craft_repair,White,<50K
37,13,1,50,1,0,0,0,Male,bachelors,private,married,Sales,White,<50K
46,12,0,36,1,0,0,0,Female,assoc,private,separated,Tech_support,Black,<50K
38,14,1,40,0,0,1,0,Male,masters,government,married,Prof_specialty,White,>50K
43,9,1,60,1,0,0,0,Male,hs_grad,self_emp,married,Craft_repair,White,<50K
27,11,0,35,1,0,0,0,Female,assoc,private,married,Adm_clerical,White,<50K
20,10,1,20,1,0,0,0,Male,,private,single,Sales,White,<50K
49,10,1,40,1,0,1,0,Male,,private,married,Craft_repair,Asian_Pac_Islander,>50K
61,9,1,40,1,0,0,0,Male,hs_grad,self_emp,married,Craft_repair,White,<50K
27,10,0,40,1,0,0,0,Female,,private,single,Sales,White,<50K
19,10,1,30,0,0,0,0,Male,,private,single,Other_service,White,<50K
45,11,0,40,1,1,1,0,Female,assoc,private,single,Prof_specialty,White,>50K
70,10,1,40,1,0,0,0,Male,,private,single,Tech_support,White,<50K
31,9,0,30,1,0,0,0,Female,hs_grad,private,single,Transport_moving,Black,<50K
22,10,1,24,1,0,0,0,Male,,private,married,Other_service,White,<50K
36,9,0,24,1,0,0,0,Female,hs_grad,private,separated,Other_service,White,<50K
64,7,1,40,1,1,0,0,Male,not_highschool,private,married,Craft_repair,White,<50K
43,10,0,40,1,0,0,0,Female,,unknown,separated,unknown,White,<50K
47,10,0,38,0,0,0,0,Female,,government,separated,Adm_clerical,White,<50K
34,9,0,40,1,0,0,0,Female,hs_grad,private,single,Adm_clerical,White,<50K
33,13,0,40,0,0,0,0,Female,bachelors,private,single,Exec_managerial,Asian_Pac_Islander,<50K
21,9,1,35,1,0,0,0,Male,hs_grad,private,single,Craft_repair,White,<50K
52,9,1,45,1,0,1,0,Male,hs_grad,unknown,separated,unknown,White,>50K
48,9,1,46,1,0,0,0,Male,hs_grad,private,married,Craft_repair,White,<50K
23,13,1,40,1,0,0,0,Male,bachelors,private,single,Handlers_cleaners,White,<50K
71,10,1,2,1,1,0,0,Male,,self_emp,separated,Sales,Black,<50K
29,9,1,60,1,0,0,0,Male,hs_grad,private,separated,Craft_repair,White,<50K
42,13,1,50,1,0,0,0,Male,bachelors,private,separated,Other_service,Black,<50K
68,2,0,20,1,0,0,0,Female,not_highschool,unknown,separated,unknown,White,<50K
25,9,0,40,1,0,0,0,Female,hs_grad,private,single,Other_service,White,<50K
44,14,0,40,1,0,0,0,Female,masters,self_emp,separated,Exec_managerial,Asian_Pac_Islander,<50K
28,9,0,40,0,0,0,0,Female,hs_grad,private,single,Exec_managerial,Asian_Pac_Islander,<50K
45,14,1,40,1,0,1,0,Male,masters,self_emp,married,Sales,White,>50K
36,10,0,40,0,0,0,0,Female,,private,separated,Other_service,White,<50K
39,12,1,42,1,0,0,0,Male,assoc,government,single,Exec_managerial,White,<50K
46,14,1,40,1,0,0,0,Male,masters,government,separated,Protective_serv,White,<50K
18,7,1,16,1,0,0,0,Male,not_highschool,private,single,Handlers_cleaners,White,<50K
66,11,0,20,1,0,0,0,Female,assoc,government,separated,Prof_specialty,White,<50K
27,9,1,40,1,1,0,0,Male,hs_grad,private,single,Other_service,White,<50K
28,9,1,40,1,0,0,0,Male,hs_grad,government,married,Protective_serv,White,<50K
51,10,1,40,1,1,1,0,Male,,private,married,Sales,White,>50K
27,13,1,50,1,0,0,0,Male,bachelors,private,single,Craft_repair,White,<50K
28,13,1,40,1,0,1,0,Male,bachelors,government,married,Prof_specialty,White,>50K
27,9,0,25,1,0,0,0,Female,hs_grad,private,married,Sales,White,<50K
21,9,1,40,1,0,0,0,Male,hs_grad,private,single,Craft_repair,Black,<50K
34,9,1,40,1,0,0,0,Male,hs_grad,private,single,Handlers_cleaners,Black,<50K
18,9,1,12,1,0,0,0,Male,hs_grad,private,single,Other_service,White,<50K
33,13,1,65,1,0,0,0,Male,bachelors,private,married,Prof_specialty,White,<50K
44,10,1,38,1,0,1,0,Male,,government,married,Exec_managerial,Black,>50K
43,10,0,40,1,0,0,0,Female,,private,separated,Adm_clerical,White,<50K
30,10,1,45,1,0,0,0,Male,,private,single,Craft_repair,Black,<50K
40,4,1,40,0,0,1,0,Male,,private,married,Machine_op_inspct,White,>50K
37,10,1,42,1,0,1,0,Male,,government,married,Adm_clerical,White,>50K
34,9,1,40,1,0,0,0,Male,hs_grad,private,married,Adm_clerical,Black,<50K
41,13,0,40,1,0,0,0,Female,bachelors,self_emp,separated,Exec_managerial,White,<50K
53,13,0,50,1,0,0,0,Female,bachelors,unknown,separated,unknown,White,<50K
31,14,0,50,1,0,0,0,Female,masters,private,married,Prof_specialty,White,<50K
58,16,1,1,1,0,1,0,Male,doctorate,government,married,Prof_specialty,White,>50K
38,10,0,28,1,0,0,0,Female,,private,separated,Machine_op_inspct,Black,<50K
24,10,1,40,1,0,0,0,Male,,private,married,Machine_op_inspct,White,<50K
41,13,1,40,1,0,0,0,Male,bachelors,government,married,Craft_repair,Black,<50K
47,10,1,45,1,0,0,0,Male,,private,married,Tech_support,White,<50K
41,13,1,24,1,0,0,0,Male,bachelors,government,married,Tech_support,White,<50K
23,3,1,40,0,0,0,0,Male,not_highschool,private,married,Transport_moving,White,<50K
36,10,1,40,1,0,0,0,Male,,private,separated,Craft_repair,White,<50K
40,14,0,55,1,1,1,0,Female,masters,government,single,Exec_managerial,White,>50K
35,14,1,40,1,1,1,0,Male,masters,private,married,Prof_specialty,White,>50K
24,9,1,40,1,0,0,0,Male,hs_grad,self_emp,single,Sales,White,<50K
26,14,0,40,1,1,0,0,Female,masters,private,single,Prof_specialty,White,<50K
19,9,1,40,0,0,0,0,Male,hs_grad,unknown,single,unknown,White,<50K
51,13,1,50,1,0,1,0,Male,bachelors,private,married,Exec_managerial,White,>50K
42,10,0,40,1,1,0,0,Female,,government,single,Prof_specialty,White,<50K
37,9,0,35,1,0,0,0,Female,hs_grad,government,separated,Adm_clerical,White,<50K
18,7,0,40,1,0,0,0,Female,not_highschool,private,single,Sales,White,<50K
36,13,1,36,1,1,1,0,Male,bachelors,private,married,Other_service,Black,>50K
35,9,1,60,1,0,0,0,Male,hs_grad,private,separated,Craft_repair,White,<50K
58,9,0,35,1,1,1,0,Female,hs_grad,self_emp,married,Sales,White,>50K
17,7,0,12,1,0,0,0,Female,not_highschool,private,single,Sales,White,<50K
44,9,1,40,1,0,0,0,Male,hs_grad,government,married,Transport_moving,Black,<50K
37,9,1,40,1,0,1,0,Male,hs_grad,private,married,Craft_repair,White,>50K
35,10,0,40,1,0,0,0,Female,,private,single,Sales,Amer_Indian_Eskimo,<50K
60,9,1,40,1,0,0,0,Male,hs_grad,private,married,Craft_repair,Asian_Pac_Islander,<50K
54,4,1,40,1,0,1,0,Male,,self_emp,married,Machine_op_inspct,White,>50K
37,13,1,60,1,0,1,0,Male,bachelors,private,single,Exec_managerial,Black,>50K
50,12,0,40,1,0,0,0,Female,assoc,private,separated,Sales,White,<50K
38,13,1,50,0,0,0,0,Male,bachelors,private,married,Sales,White,<50K
45,13,1,55,1,0,0,0,Male,bachelors,private,married,Prof_specialty,White,<50K
25,6,1,40,1,0,0,0,Male,not_highschool,private,single,Craft_repair,White,<50K
31,10,1,40,1,0,0,0,Male,,private,married,Handlers_cleaners,White,<50K
64,2,1,40,1,0,0,0,Male,not_highschool,unknown,separated,unknown,White,<50K
90,9,1,40,1,1,0,0,Male,hs_grad,private,single,Other_service,Black,<50K
54,9,1,20,1,0,0,0,Male,hs_grad,private,married,Adm_clerical,Black,<50K
53,1,0,35,1,0,0,0,Female,not_highschool,government,single,Machine_op_inspct,White,<50K
18,9,0,40,1,0,0,0,Female,hs_grad,private,single,Sales,White,<50K
60,6,0,10,1,0,0,0,Female,not_highschool,unknown,separated,unknown,Amer_Indian_Eskimo,<50K
66,9,1,50,1,1,0,0,Male,hs_grad,self_emp,married,Farming_fishing,White,<50K
75,11,0,20,0,0,0,0,Female,assoc,private,separated,Adm_clerical,White,<50K
65,9,0,40,1,0,0,0,Female,hs_grad,private,separated,Adm_clerical,White,<50K
35,7,1,40,1,1,0,0,Male,not_highschool,private,separated,Transport_moving,Black,<50K
41,9,0,38,1,0,0,0,Female,hs_grad,private,separated,Sales,Black,<50K
25,10,1,42,1,0,0,0,Male,,private,single,Adm_clerical,White,<50K
33,10,0,40,1,0,0,0,Female,,private,separated,Craft_repair,Other,<50K
28,15,1,55,1,0,1,0,Male,prof_school,private,single,Prof_specialty,White,>50K
59,9,1,40,1,0,0,0,Male,hs_grad,government,married,Other_service,White,<50K
40,10,0,38,1,0,0,0,Female,,government,single,Adm_clerical,White,<50K
41,13,1,50,0,0,1,0,Male,bachelors,private,married,Exec_managerial,White,>50K
38,14,1,70,1,0,1,0,Male,masters,government,married,Exec_managerial,White,>50K
23,9,1,40,1,0,0,0,Male,hs_grad,private,single,Transport_moving,White,<50K
40,13,1,40,1,0,1,0,Male,bachelors,private,married,Prof_specialty,White,>50K
41,9,0,20,1,0,0,0,Female,hs_grad,self_emp,married,Other_service,White,<50K
24,12,1,50,1,0,0,0,Male,assoc,government,married,Protective_serv,White,<50K
20,10,1,20,1,0,0,0,Male,,unknown,single,unknown,White,<50K
38,10,1,40,1,1,0,0,Male,,private,separated,Craft_repair,White,<50K
56,9,1,35,0,0,0,0,Male,hs_grad,private,married,Adm_clerical,White,<50K
58,9,1,45,1,0,1,0,Male,hs_grad,private,married,Adm_clerical,White,>50K
32,9,0,34,1,0,0,0,Female,hs_grad,private,single,Other_service,White,<50K
40,12,1,60,1,1,1,0,Male,assoc,private,married,Tech_support,White,>50K
45,9,1,40,0,0,0,0,Male,hs_grad,private,married,Adm_clerical,White,<50K
41,15,0,40,1,0,1,0,Female,prof_school,private,married,Prof_specialty,White,>50K
42,13,0,40,1,0,0,0,Female,bachelors,private,married,Adm_clerical,Black,<50K
59,6,0,30,1,0,0,0,Female,not_highschool,government,separated,Other_service,Black,<50K
19,10,1,40,1,0,0,0,Male,,government,single,Adm_clerical,White,<50K
58,10,1,20,1,0,0,0,Male,,private,single,Transport_moving,White,<50K
42,9,1,40,0,0,1,0,Male,hs_grad,self_emp,married,Farming_fishing,Asian_Pac_Islander,>50K
20,9,0,40,1,0,0,0,Female,hs_grad,private,single,Other_service,White,<50K
32,9,0,30,1,0,0,0,Female,hs_grad,private,separated,Other_service,White,<50K
45,11,0,45,1,0,0,0,Female,assoc,private,separated,Exec_managerial,White,<50K
50,4,1,40,1,0,0,0,Male,,private,separated,Craft_repair,White,<50K
36,13,0,40,1,0,0,0,Female,bachelors,private,separated,Prof_specialty,White,<50K
45,9,1,60,1,0,0,0,Male,hs_grad,private,married,Sales,White,<50K
17,7,1,12,1,0,0,0,Male,not_highschool,private,single,Other_service,White,<50K
59,10,1,40,1,1,0,0,Male,,private,married,Sales,White,<50K
26,7,1,40,1,0,0,0,Male,not_highschool,private,married,Craft_repair,White,<50K
37,10,1,75,0,0,1,0,Male,,self_emp,married,Exec_managerial,Asian_Pac_Islander,>50K
19,10,1,24,0,0,0,0,Male,,unknown,single,unknown,White,<50K
64,9,1,40,1,0,1,0,Male,hs_grad,private,married,Exec_managerial,White,>50K
33,13,0,45,1,0,0,0,Female,bachelors,private,single,Prof_specialty,White,<50K
33,9,0,40,1,0,1,0,Female,hs_grad,private,married,Craft_repair,White,>50K
61,9,1,40,1,0,1,0,Male,hs_grad,private,married,Exec_managerial,White,>50K
17,5,1,24,1,1,0,0,Male,,private,single,Other_service,White,<50K
50,14,1,98,1,1,0,0,Male,masters,self_emp,married,Farming_fishing,White,<50K
27,14,1,35,1,0,0,0,Male,masters,government,single,Prof_specialty,White,<50K
30,9,0,40,1,0,0,0,Female,hs_grad,private,separated,Prof_specialty,White,<50K
43,9,1,40,1,0,0,0,Male,hs_grad,private,married,Handlers_cleaners,Black,<50K
44,10,1,40,1,1,1,0,Male,,private,married,Craft_repair,White,>50K
35,10,0,40,1,0,0,0,Female,,private,single,Exec_managerial,White,<50K
25,10,0,40,1,0,0,0,Female,,private,single,Tech_support,White,<50K
24,10,0,48,1,1,1,0,Female,,private,married,Machine_op_inspct,White,>50K
22,13,0,15,0,0,0,0,Female,bachelors,private,single,Prof_specialty,White,<50K
42,10,1,40,1,1,1,0,Male,,government,married,Craft_repair,White,>50K
34,12,0,45,1,0,0,0,Female,assoc,private,separated,Sales,Black,<50K
60,13,0,42,1,0,0,0,Female,bachelors,private,separated,Prof_specialty,White,<50K
21,9,1,40,1,0,0,0,Male,hs_grad,private,single,Handlers_cleaners,White,<50K
57,14,1,40,1,1,1,0,Male,masters,government,married,Sales,White,>50K
41,15,1,60,1,0,1,0,Male,prof_school,private,married,Prof_specialty,White,>50K
50,10,1,45,1,0,0,0,Male,,private,separated,Other_service,White,<50K
25,13,0,40,1,0,0,0,Female,bachelors,private,single,Exec_managerial,White,<50K
50,4,1,40,0,0,0,0,Male,,private,married,Craft_repair,White,<50K
36,13,1,45,1,0,0,0,Male,bachelors,private,married,Prof_specialty,White,<50K
31,9,0,40,1,0,0,0,Female,hs_grad,private,separated,Prof_specialty,White,<50K
29,13,1,56,1,0,0,0,Male,bachelors,government,single,Protective_serv,White,<50K
21,10,1,45,1,0,0,0,Male,,private,single,Sales,White,<50K
27,13,0,40,1,0,0,0,Female,bachelors,private,single,Tech_support,Black,<50K
65,9,1,16,1,0,0,0,Male,hs_grad,private,married,Transport_moving,White,<50K
37,13,0,60,1,0,0,0,Female,bachelors,self_emp,separated,Sales,White,<50K
39,14,0,40,0,1,0,0,Female,masters,unknown,married,unknown,Asian_Pac_Islander,<50K
24,9,1,40,1,0,0,0,Male,hs_grad,private,single,Craft_repair,White,<50K
38,9,1,80,1,0,0,0,Male,hs_grad,private,separated,Sales,White,<50K
48,13,1,40,1,1,1,0,Male,bachelors,private,married,Adm_clerical,White,>50K
21,10,0,25,1,0,0,0,Female,,private,single,Other_service,Asian_Pac_Islander,<50K
31,9,1,45,1,0,1,0,Male,hs_grad,private,married,Transport_moving,White,>50K
55,9,1,40,1,1,1,0,Male,hs_grad,private,married,Sales,White,>50K
24,10,0,40,0,0,0,0,Female,,private,married,Adm_clerical,Asian_Pac_Islander,<50K
43,9,0,40,1,0,0,0,Female,hs_grad,private,separated,Adm_clerical,White,<50K
26,12,1,45,1,0,0,0,Male,assoc,private,single,Tech_support,White,<50K
46,12,0,33,1,0,0,0,Female,assoc,private,single,Prof_specialty,White,<50K
35,12,1,40,1,0,1,0,Male,assoc,private,married,Adm_clerical,White,>50K
41,10,1,54,1,0,1,0,Male,,self_emp,married,Farming_fishing,White,>50K
26,13,1,40,1,0,0,0,Male,bachelors,private,single,Sales,White,<50K
34,14,1,35,0,1,1,0,Male,masters,private,married,Exec_managerial,Asian_Pac_Islander,>50K
19,10,0,25,1,0,0,0,Female,,unknown,single,unknown,Black,<50K
36,13,0,40,1,0,1,0,Female,bachelors,self_emp,separated,Prof_specialty,Black,>50K
22,10,1,15,1,0,0,0,Male,,private,single,Sales,White,<50K
24,10,1,40,1,0,0,0,Male,,private,single,Machine_op_inspct,White,<50K
77,10,1,40,1,0,0,0,Male,,self_emp,married,Sales,White,<50K
22,3,0,40,0,0,0,0,Female,not_highschool,private,married,Machine_op_inspct,White,<50K
29,10,0,40,1,0,0,0,Female,,private,single,Tech_support,White,<50K
62,9,0,24,1,0,0,0,Female,hs_grad,private,separated,Other_service,White,<50K
39,9,1,40,1,0,0,0,Male,hs_grad,self_emp,married,Exec_managerial,White,<50K
43,10,1,50,1,1,0,0,Male,,private,married,Craft_repair,White,<50K
35,9,1,45,1,0,0,0,Male,hs_grad,private,separated,Transport_moving,White,<50K
29,7,0,40,1,0,0,0,Female,not_highschool,private,single,Exec_managerial,White,<50K
76,14,1,10,1,0,0,0,Male,masters,self_emp,married,Craft_repair,White,<50K
63,9,1,45,1,0,0,0,Male,hs_grad,self_emp,married,Farming_fishing,White,<50K
23,11,0,15,1,0,0,0,Female,assoc,unknown,single,unknown,Black,<50K
43,10,0,50,1,1,1,0,Female,,private,married,Prof_specialty,White,>50K
58,9,1,40,1,0,0,0,Male,hs_grad,self_emp,married,Handlers_cleaners,White,<50K
66,9,1,55,1,1,0,0,Male,hs_grad,private,single,Transport_moving,White,<50K
41,10,1,45,1,0,0,0,Male,,private,single,Craft_repair,Black,<50K
26,13,1,40,1,0,0,0,Male,bachelors,private,single,Adm_clerical,White,<50K
47,11,1,40,1,0,0,0,Male,assoc,private,single,Other_service,White,<50K
55,6,1,40,1,0,0,0,Male,not_highschool,government,married,Adm_clerical,White,<50K
53,9,1,40,1,0,0,0,Male,hs_grad,private,married,Transport_moving,White,<50K
